mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,Bminor_count,A#/Bbminor_count,BMajor_count
INFJ,NF,ISFP playlist ♡,6uUl4hMRrrVYjIFic9gp4j,50,0.6332,0.126416061,0.67016,0.177254615,-5.91302,2.357529912,0.56,0.501426536,0.083066,0.070399219,0.20622584,0.276836308,0.167384,0.112649903,0.478764,0.195716703,117.7007,29.92704025,0.020415082,0.121466158,1,3,1,3,1,0,1,0,3,3,4,3,3,4,1,3,0,4,2,3,2,4,1,0
INFJ,NF,infj ,0Vb8rBWlOpDgC5Uuu5LL89,50,0.54828,0.129067304,0.63154,0.20279005,-5.85742,2.962015214,0.46,0.503457434,0.072162,0.074437498,0.25919938,0.270866245,0.177364,0.109726589,0.402186,0.213705197,116.47198,29.49088225,0.001333376,0.005884168,3,0,3,2,6,2,1,1,4,4,2,6,1,4,0,2,0,2,2,0,0,4,1,0
INFJ,NF,Infp songs <3,0VWRita9yORbhfBc80CNfz,50,0.5208,0.164157465,0.618752,0.218963975,-7.24238,4.592926571,0.64,0.484873221,0.065084,0.053946804,0.263626766,0.300976405,0.15108,0.100298959,0.402024,0.20274605,131.27542,31.14320906,0.045329397,0.164013337,1,5,1,3,3,5,0,0,6,2,2,2,0,2,1,2,0,4,1,2,1,2,1,4
INFJ,NF,INFJ playlist,78u1dg0ofGUJjmFlBYTbP6,43,0.533139535,0.137697318,0.621093023,0.226103939,-7.654976744,3.506166707,0.441860465,0.502485517,0.0473,0.032396958,0.2348311,0.268115048,0.145106977,0.088917199,0.42705814,0.241176274,115.7973953,24.39608405,0.123348104,0.23776003,2,2,1,2,1,2,1,0,2,0,2,4,3,1,1,1,2,3,3,0,2,5,1,2
INFJ,NF,INFJ,01PJMGPTwydYcE07CmGO7X,50,0.56482,0.137725354,0.62208,0.158731559,-7.139,2.666553282,0.32,0.471212071,0.068716,0.056037674,0.160150684,0.197948817,0.183566,0.126627775,0.429,0.2151736,125.16488,29.06818588,0.072146951,0.180994294,2,1,2,0,2,0,1,0,3,1,2,0,2,2,4,1,2,3,5,1,2,4,5,5
INFJ,NF,pov ; you’re an infp,4Ap1GBkipIaX3dHPiMk96v,50,0.5604,0.141450071,0.445862,0.24259167,-10.57224,5.685179015,0.82,0.388087934,0.065178,0.058684317,0.4796774,0.36140648,0.169092,0.12663451,0.351366,0.195116122,114.69308,30.03414246,0.069537275,0.206277029,2,12,0,4,0,2,0,2,2,0,0,2,0,1,0,4,1,1,1,7,5,1,2,1
INFJ,NF,infj songs ♡,28nuegyX1rNkP16IKVHFSU,38,0.521657895,0.128653374,0.556552632,0.197524641,-7.996052632,3.26497214,0.578947368,0.500355492,0.061997368,0.06312265,0.361788921,0.339950585,0.140107895,0.079588901,0.382613158,0.204852688,106.6248947,24.99350367,0.106956944,0.230954727,3,2,1,1,1,1,0,2,1,3,1,4,2,3,1,1,1,1,1,1,2,2,2,1
INFJ,NF,INFJ 4W5,0bfuJU7NagUVXgmLP7R3DT,50,0.564408163,0.123595091,0.635693878,0.232775124,-7.642326531,3.214956579,0.591836735,0.496586991,0.051404082,0.030011171,0.265374661,0.299653764,0.189142857,0.140623936,0.470434694,0.23529686,117.6153061,30.52329789,0.159545441,0.289252885,1,3,1,1,1,2,1,3,3,1,4,4,0,2,1,4,1,2,4,5,1,3,0,1
INFJ,NF,INFJ's depth,0wwNS3TP0JRMBCfpTyiKE6,18,0.535444444,0.117816019,0.359494444,0.142175618,-9.175111111,2.491605646,0.722222222,0.460888599,0.051644444,0.031656413,0.615544444,0.326056067,0.187644444,0.134300393,0.336111111,0.136886767,100.4355556,32.30458637,0.001198377,0.003884036,1,2,0,0,0,0,0,2,0,0,1,2,0,1,1,2,0,2,0,0,2,2,0,0
INFJ,NF,infj,7nruKMLe9ZgTIFkbYShBP6,47,0.456829787,0.097447493,0.372510638,0.094486225,-7.69412766,2.062319089,0.957446809,0.204029709,0.033606383,0.005488344,0.745702128,0.136593958,0.146242553,0.079871042,0.278,0.107371156,133.7694255,28.22790613,7.06E-05,0.000355829,0,5,0,2,0,2,0,7,0,2,1,3,0,3,0,3,1,3,0,5,2,0,0,8
INFJ,NF,infJ,0odnHyApyCUuAffbnXgoY3,50,0.5211,0.122287425,0.55024,0.191227993,-7.34508,2.752594693,0.78,0.418451958,0.043988,0.039221733,0.37387188,0.299178397,0.146816,0.087240553,0.339816,0.193893598,110.24534,31.07102328,0.051975644,0.17546643,2,4,1,4,1,6,0,1,2,5,0,3,3,0,0,1,0,7,2,1,4,0,0,3
INFJ,NF,pov: you’re an infj ,1qEWVe7gE8fa1nnOHyuaZM,50,0.51094,0.139009236,0.574222,0.229756524,-7.91078,4.39297947,0.56,0.501426536,0.047294,0.026161363,0.28049018,0.34659891,0.17194,0.13311577,0.365496,0.236316376,118.56768,26.88503856,0.083686956,0.175307432,0,7,0,1,1,1,0,1,5,4,4,3,1,1,3,0,0,5,5,3,2,1,2,0
INFJ,NF,entp x infj,4ovXM2PgaToExxIcOCUDr2,50,0.4828,0.145756436,0.612556,0.277638816,-9.52602,5.694494457,0.72,0.453557368,0.051092,0.024118566,0.27934461,0.363287381,0.18906,0.129227006,0.437738,0.252016632,128.38728,34.66313932,0.155477135,0.302439947,1,9,0,4,1,3,1,1,0,2,2,1,3,2,0,5,0,2,2,3,2,2,2,2
INFJ,NF,INFJ,1SNQ3oHgVOdVwSgFvCFH04,50,0.64666,0.1560728,0.68782,0.160271414,-6.97588,3.019005355,0.56,0.501426536,0.09915,0.124270707,0.15935006,0.232463532,0.169222,0.163338175,0.581162,0.221363995,127.11404,28.76160007,0.103044799,0.248724033,1,3,3,5,0,5,0,0,5,4,3,0,2,2,1,1,2,2,1,2,2,2,2,2
INFJ,NF,Lofi for INFJs 🍊,0W3xlxQD07aJI96Y6eBLnV,43,0.650511628,0.102983441,0.270489302,0.140388307,-14.69293023,6.012641248,0.581395349,0.499168744,0.069976744,0.065528499,0.742574419,0.235873206,0.155906977,0.137057351,0.2712,0.171217885,106.2768605,33.48566052,0.81372093,0.188628424,1,3,1,1,2,2,1,0,2,0,1,2,1,2,1,5,2,3,1,3,2,4,1,2
INFJ,NF,INFJ,43Hqm5oYtKuKlVvZsptXx5,50,0.5605,0.161284038,0.42013,0.174699883,-10.05038,4.076278965,0.82,0.388087934,0.080558,0.074327247,0.56033,0.303823508,0.167592,0.140306708,0.291498,0.193665748,115.33536,31.66220344,0.046961181,0.167431162,0,7,0,4,0,3,0,1,4,6,0,2,0,2,1,10,0,0,1,4,2,1,2,0
INFJ,NF,INFJ,62Z75GHgU6dUvXRu4YbWX4,50,0.65582,0.162070492,0.6127,0.210169247,-7.3487,3.215678151,0.74,0.443087498,0.077844,0.067374831,0.3582798,0.287642511,0.194172,0.14797088,0.55878,0.239538953,118.27666,30.15182525,0.012838317,0.051225054,0,4,1,4,2,2,1,5,2,0,1,3,1,1,0,6,1,2,1,4,4,3,0,2
INFJ,NF,infj :'),7yfZH7H25hPEvyxXAKYJ0H,50,0.58274,0.148725855,0.522614,0.195488713,-8.88162,4.672552084,0.7,0.46291005,0.092488,0.098007248,0.4065764,0.326485985,0.145032,0.106073466,0.454282,0.242272007,117.56404,27.55937061,0.046637562,0.165962998,1,3,0,2,1,5,0,2,1,4,2,4,0,3,0,4,3,1,2,3,2,3,2,2
INFJ,NF,INFJ🪐🔭,4CZDWswUOhSEPcahuu7AAR,50,0.5511,0.138256232,0.57442,0.180274857,-7.36546,2.878348671,0.62,0.490314351,0.0644,0.060937388,0.380607,0.309375634,0.175752,0.096003901,0.449088,0.216640254,118.14838,34.96890817,0.029259266,0.087659212,3,5,3,2,0,3,0,2,1,1,1,2,3,3,1,1,0,4,2,2,4,5,0,2
INFJ,NF,infj √,7tBJCFwmTVbIuzMlD4AdCI,50,0.53508,0.154904821,0.60514,0.203841376,-7.90922,3.021641001,0.56,0.501426536,0.05065,0.043193845,0.29803628,0.281015828,0.15945,0.137092317,0.39372,0.205711413,116.14756,28.99533459,0.081170752,0.190168715,3,3,0,3,1,3,0,0,1,1,3,3,1,1,1,3,2,1,0,6,2,8,2,2
INFJ,NF,INFJ,1atrSzRz2WEI9fYAYfFndU,50,0.4527,0.123299081,0.3805892,0.20557646,-11.87162,6.262573524,0.74,0.443087498,0.037594,0.009249786,0.5702674,0.373320522,0.132008,0.083487999,0.239894,0.157018915,119.60744,30.20431715,0.149711594,0.319707899,1,6,2,0,0,5,1,0,0,5,2,4,1,2,2,5,0,3,1,2,3,3,0,2
INFJ,NF,INFJ,4Myt7OkKW1jdwlTX82JS5d,22,0.465318182,0.11380576,0.486318182,0.18950773,-7.812727273,2.382293237,0.681818182,0.476731295,0.0502,0.054518551,0.432100909,0.315810477,0.157186364,0.109828244,0.276772727,0.14836244,113.5501364,32.54131752,0.079814118,0.233070432,3,3,0,1,0,0,0,1,0,1,0,2,1,1,0,2,0,0,0,2,2,3,0,0
INFJ,NF,INFJ,37UwVDxgolivHHzwl7s3DQ,50,0.6687,0.128290208,0.70642,0.115103519,-6.83332,1.800905673,0.5,0.505076272,0.08841,0.07769468,0.12865884,0.188958334,0.198648,0.172485414,0.55982,0.221714994,120.02904,27.75297967,0.137135594,0.251677639,2,7,3,4,1,1,0,1,2,0,4,1,3,1,3,4,2,4,2,1,0,2,1,1
INFJ,NF,infj <3,6utXKDd34PmCTrYz1xzdRX,50,0.52124,0.153449262,0.454406,0.220112321,-9.93696,4.429183663,0.86,0.350509833,0.044124,0.028324091,0.497707651,0.351087663,0.16962,0.120444139,0.356358,0.201851461,117.57832,31.19347217,0.167292122,0.278176912,1,8,0,4,1,8,0,1,0,2,2,3,1,2,0,3,0,2,1,5,3,1,0,2
INFJ,NF,every infj’s playlist,3wnbpuAKArovCpBPepc3SB,50,0.6051,0.132458272,0.50688,0.144614003,-8.4044,2.257466216,0.92,0.274047516,0.064522,0.049014156,0.435466,0.276906261,0.138754,0.065656267,0.366578,0.174871994,123.4841,32.32165255,0.01550052,0.079904058,0,8,0,3,1,4,0,2,1,1,0,6,2,5,0,5,0,5,0,3,3,0,0,1
INFJ,NF,INFJ 🍂🍪🎧,76dQG48VVXUlohCWDkcLWh,50,0.49002,0.132211718,0.436292,0.234179771,-10.44026,4.871692259,0.6,0.494871659,0.04865,0.058967045,0.52897946,0.376387699,0.161268,0.121386395,0.300264,0.180736194,125.90308,26.12075299,0.179232998,0.293750744,2,2,2,2,1,1,0,1,3,5,1,2,4,2,1,4,2,2,1,4,3,1,2,2
INFJ,NF,INFJ,13cGGywO75ZBdUDioEjRgn,50,0.52998,0.11213958,0.400184,0.199496591,-10.37954,4.234251919,0.82,0.388087934,0.048586,0.028891126,0.609104,0.300628839,0.147938,0.090652561,0.338344,0.173679601,119.0678,33.19237764,0.039718222,0.137181541,1,9,1,1,0,3,0,0,2,2,1,2,1,1,0,6,1,4,1,9,4,0,1,0
INFJ,NF,INFJ ✨️,7a4DEMxso4K8rVYTDeJ8Ow,50,0.62216,0.117745204,0.689318,0.177339922,-6.89914,2.872813618,0.74,0.443087498,0.05604,0.046623061,0.193764106,0.272478423,0.169106,0.14105407,0.610218,0.214173163,122.92718,26.76771431,0.110264204,0.225412334,1,6,0,4,1,5,0,1,2,3,0,1,4,3,0,3,0,3,2,3,2,1,2,3
INFJ,NF,infj thinking moments,6hb3dUyq17hDPsIJKcNAHV,50,0.62598,0.121897329,0.53044,0.154745764,-6.64054,2.217516318,0.64,0.484873221,0.098,0.10597055,0.382878,0.248739659,0.167534,0.113231548,0.48382,0.205950429,129.8688,35.7270027,0.01026843,0.035614273,1,2,3,2,1,2,1,5,0,2,2,3,3,2,2,4,0,4,1,2,0,2,2,4
INFJ,NF,infj-t ✧,114BOsMEQHpVyVy6vnQTcp,22,0.507045455,0.182063955,0.508909091,0.177157425,-8.292090909,3.591153004,0.545454545,0.509647191,0.053477273,0.059097643,0.453513636,0.349942417,0.232163636,0.155149493,0.342127273,0.222803409,103.0578182,31.21517765,0.052866986,0.198700617,0,0,1,3,3,0,0,0,0,1,0,2,2,2,0,0,1,3,1,0,0,1,1,1
INFJ,NF,infj,2J3Oq3AInb5lcbVVuk8HpL,50,0.60306,0.132316629,0.6154,0.157861603,-7.07748,2.059790422,0.56,0.501426536,0.071938,0.074212953,0.229317186,0.252938179,0.206112,0.129346566,0.48498,0.228234528,118.44176,27.29856766,0.022138006,0.102842772,2,8,2,2,2,2,0,1,2,0,0,3,3,1,1,2,1,4,1,2,3,4,4,0
INFJ,NF,Infj x entp,5IT0CDzG5eTlBruFQDsxF9,26,0.633846154,0.118921047,0.680730769,0.226347619,-6.493307692,3.35148115,0.576923077,0.503831474,0.050919231,0.030255195,0.189702154,0.283128273,0.161096154,0.090646291,0.599769231,0.185507586,117.6678077,22.16213448,0.009351473,0.021369519,2,1,2,2,0,1,0,0,1,0,0,2,0,0,1,5,1,2,1,0,2,2,1,0
INFJ,NF,Infj,1vK5YhGGBF6WiBW8EGCLM8,50,0.56468,0.121267867,0.533472,0.169751019,-8.29052,3.511628155,0.68,0.471212071,0.06416,0.080477668,0.388533,0.312396493,0.150176,0.088578365,0.425982,0.221203864,116.6394,35.20201423,0.062100502,0.18196936,3,6,1,3,2,5,0,0,0,4,0,5,1,2,1,1,1,3,3,2,2,3,1,1
INFJ,NF,infj,7yyFHLbZX3qgGCt88OpihQ,29,0.666655172,0.147045735,0.551551724,0.204028637,-7.417,2.995401094,0.655172414,0.483725281,0.104303448,0.129374002,0.298729655,0.302096014,0.192437931,0.100380392,0.578068966,0.242174366,113.1403448,28.8265672,6.23E-06,1.47E-05,1,2,3,2,0,1,1,2,0,3,0,0,0,0,0,2,3,2,0,0,4,2,0,1
INFJ,NF,infj cult ,7wv70Bkfb0MSFwXJ80xjU9,50,0.61498,0.101392446,0.7381,0.146533725,-4.41336,1.686195522,0.48,0.50467205,0.077724,0.069703903,0.17125122,0.181570034,0.18745,0.125184664,0.51414,0.168933027,123.61154,29.20838014,0.000311876,0.001174985,2,2,1,5,4,2,1,1,2,2,3,3,5,3,2,2,3,3,1,1,0,2,0,0
INFJ,NF,DOUBLE INFJ,6SAPQ7jBFjWlQ0oN1AqusK,17,0.582470588,0.10809609,0.508470588,0.210433813,-7.987294118,2.765921677,0.823529412,0.392952624,0.116494118,0.120005825,0.483382353,0.342856942,0.142552941,0.093219681,0.411352941,0.20076975,111.0174118,29.14209273,1.99E-06,4.57E-06,0,1,1,2,0,1,0,0,0,1,1,2,0,2,0,0,0,2,0,2,1,0,1,0
INFJ,NF,Infj,1tV2liYKikq2D5vFnPRgIE,50,0.55794,0.143547391,0.69726,0.197783205,-8.24898,3.392104575,0.6,0.494871659,0.05223,0.045970355,0.226933803,0.292614845,0.196766,0.124455491,0.521492,0.250287186,127.82998,28.68032503,0.22251925,0.323399538,4,4,1,3,1,2,1,3,0,1,1,3,2,1,0,4,1,4,4,3,1,2,3,1
INFJ,NF,infj,0OyiBmB7UN2wZUCfXFldya,50,0.522814,0.147289674,0.560052,0.186896797,-8.44764,3.910129455,0.56,0.501426536,0.055592,0.053991306,0.36369948,0.340571949,0.13615,0.076534989,0.391886,0.184697885,113.82732,27.17810155,0.079031882,0.19319778,4,5,0,4,3,3,0,1,1,2,6,7,2,1,0,1,0,1,1,0,3,5,0,0
INFJ,NF,INFJ/INTJ,5CStUmcoi2wvtxn0A8kBg4,12,0.545416667,0.107650494,0.788583333,0.124201785,-5.841166667,1.439240319,0.25,0.452267017,0.109766667,0.081475745,0.127456483,0.209608844,0.202516667,0.216048062,0.481666667,0.183680223,140.534,33.57778559,0.001300049,0.004025092,2,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0
