mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,Gminor_count,A#/BbMajor_count,F#/GbMajor_count,Bminor_count
INFP,NF,This Is INF1N1TE,37i9dQZF1DZ06evO2gEhGg,50,0.62752,0.089986675,0.89672,0.091512693,-3.39622,1.789910353,0.5,0.505076272,0.187964,0.137097595,0.014073806,0.058866887,0.218584,0.17038082,0.33932,0.209851837,134.09514,33.44215299,0.124323663,0.226818795,0,2,2,10,5,0,4,1,5,0,7,1,1,3,0,1,1,0,0,0,0,0,2,5
INFP,NF,infp playlist,7jcLRVhhQtpZpMVBnffYU3,50,0.53956,0.131589057,0.604652,0.223517607,-7.66672,3.789696639,0.64,0.484873221,0.053668,0.049347789,0.29447955,0.308431002,0.138808,0.082761235,0.430516,0.222548639,122.317,33.55615273,0.066851218,0.176276264,1,5,0,5,3,1,4,4,2,5,2,1,1,1,3,2,1,3,1,1,1,0,2,1
INFP,NF,This Is I.N.F,37i9dQZF1DZ06evO2BZHgQ,50,0.63826,0.129633205,0.73156,0.161168458,-7.10216,2.427523407,0.48,0.50467205,0.3071,0.103998087,0.1229784,0.15618735,0.247842,0.191113386,0.58396,0.179949989,108.17912,36.18521933,3.08E-05,8.87E-05,0,0,2,5,3,0,3,1,1,1,2,5,1,2,0,1,8,0,0,1,0,0,6,8
INFP,NF,Infp  😈,6MmxNmITZDpdOd1jlwQOxx,45,0.523933333,0.157422333,0.725244444,0.167456393,-6.0246,2.901972906,0.577777778,0.499494694,0.083106667,0.070885485,0.133619571,0.218492901,0.172044444,0.119866789,0.44426,0.206186359,128.9958444,32.74450587,0.031260501,0.116932743,1,3,2,2,4,1,3,1,0,1,1,4,2,4,3,2,1,0,1,0,0,1,3,5
INFP,NF,INFP vibes ,7hn9dCB4WvEhdpxtU90L7K,46,0.5715,0.130866132,0.588847826,0.192743464,-6.773565217,3.192602064,0.760869565,0.431265971,0.056093478,0.043987253,0.340682196,0.324766831,0.17613913,0.096740764,0.459995652,0.210331849,131.5718913,30.12933979,0.080660965,0.181059351,1,3,0,6,2,1,2,3,3,3,4,2,0,3,0,5,1,0,0,0,0,4,3,0
INFP,NF,INFP kpop songs <3,37cJsp4mfk9fx77yGrwqgj,50,0.6465,0.107247615,0.73336,0.162495182,-4.57836,1.661032464,0.6,0.494871659,0.07298,0.069539594,0.19027228,0.195909893,0.170216,0.11885117,0.52184,0.203988131,117.79082,23.60505211,0.000275774,0.001317981,4,2,1,8,3,3,3,1,2,0,2,6,0,3,2,2,1,0,2,0,0,0,2,3
INFP,NF,INFP's harmony,04Dn97kY0bDySI4GK5Yie1,19,0.546947368,0.163772699,0.357263158,0.176843887,-10.95310526,4.551168005,0.894736842,0.315301768,0.071668421,0.075377053,0.652652632,0.276893889,0.159794737,0.086207176,0.331742105,0.198675848,110.3054211,28.19186019,0.01350632,0.058240886,0,4,0,1,1,0,0,0,0,1,0,3,0,0,0,2,0,2,0,0,1,2,1,1
INFP,NF,infp-t,1HBhOAfCqfBlf6bWXFHQBW,50,0.57512,0.135027078,0.58714,0.192612121,-7.15298,2.709427114,0.76,0.431419111,0.05442,0.052951194,0.347586872,0.304730447,0.138552,0.086276734,0.402292,0.200661239,112.79906,25.9678274,0.050122957,0.146148491,2,5,3,3,3,3,2,3,0,5,2,4,0,2,1,3,1,2,0,0,1,3,2,0
INFP,NF,infp 감성,2GOqlxxoapJhS2B0byqiSE,50,0.55834,0.11224056,0.42264,0.142799383,-8.1648,2.916215894,0.86,0.350509833,0.050484,0.048852708,0.664306,0.256996768,0.157142,0.085616046,0.328194,0.168891428,105.87642,32.0746647,0.077792749,0.198274807,3,3,0,2,2,3,0,5,1,1,0,7,0,3,1,5,0,3,0,0,1,5,4,1
INFP,NF,POV: You're an INFP,7sUvS7XVSZEwuz0SRd4Nk1,50,0.54688,0.121401113,0.560424,0.250336755,-8.13182,3.989846008,0.8,0.404061018,0.066026,0.07038802,0.345506,0.344791503,0.204924,0.151044612,0.46414,0.214734198,125.74298,31.05459515,0.078063778,0.231200578,3,3,0,2,3,2,1,5,0,7,3,6,1,2,2,3,0,0,0,0,0,4,3,0
INFP,NF,for the infp,3e7YeYnIdrDbv6nGk9jPnK,45,0.546088889,0.162176506,0.532533333,0.172151572,-8.825066667,2.845406868,0.755555556,0.434613494,0.042835556,0.028733376,0.334754612,0.316071592,0.170382222,0.094623984,0.400148889,0.210231187,120.5102444,31.29458598,0.244919174,0.33437544,1,3,1,1,3,3,3,3,2,4,2,5,0,5,1,2,0,1,0,0,1,1,3,0
INFP,NF,infp type beat,7zdE6L3XUIvihsSVnJ6RYw,28,0.59225,0.159657881,0.330353571,0.269115723,-13.14267857,5.719592339,0.964285714,0.188982237,0.073142857,0.041539169,0.654283321,0.343037171,0.142946429,0.08154758,0.383532143,0.215062954,121.50675,33.34429306,0.0613313,0.198940331,0,4,0,1,1,1,0,4,0,3,0,2,0,1,0,8,0,0,0,0,0,2,0,1
INFP,NF,infp 4w5 internalized anger,6HRzhg9IDrUWJ0HJcs0DK7,50,0.539472,0.139893416,0.64518,0.197866033,-6.43162,2.204114065,0.48,0.50467205,0.054832,0.034262173,0.235729711,0.292070813,0.186392,0.127863217,0.372288,0.187364384,119.29912,28.81722623,0.108509481,0.245435376,1,6,1,1,0,0,2,4,2,3,4,3,0,2,6,2,5,2,1,0,4,0,1,0
INFP,NF,INFP.,4RE1gc9w3NTDpn039lR8Zx,50,0.6315,0.147608867,0.5163,0.163223554,-6.15824,1.862264965,0.92,0.274047516,0.118966,0.120697574,0.540214,0.272575377,0.182176,0.124019519,0.48112,0.230412553,113.67648,30.0941568,0.026488011,0.139973921,0,3,1,6,4,1,1,5,1,3,0,6,0,3,1,3,0,5,0,0,0,4,3,0
INFP,NF,INFP songs,4PUbf7MbxOQQvJbfBshStB,50,0.5522,0.153994832,0.516062,0.221841312,-7.98086,3.759301927,0.84,0.37032804,0.057694,0.044500426,0.358674,0.347913093,0.151544,0.11797666,0.346746,0.207506387,131.54356,32.97368803,0.014351219,0.092859865,0,9,0,2,4,1,4,5,0,4,1,6,0,3,2,3,0,0,1,0,0,4,1,0
INFP,NF,songs infps would love,3jdYow8s08PgEKYwXL2uX0,50,0.55804,0.144744245,0.522538,0.218706762,-8.85176,2.999645139,0.62,0.490314351,0.058712,0.066534857,0.377329838,0.358243824,0.172154,0.138485592,0.393152,0.23797865,122.37044,27.81180249,0.110125592,0.227356934,3,3,0,3,4,3,1,3,1,5,1,2,0,2,1,1,1,2,4,0,3,0,3,4
INFP,NF,INFP (PDB),7LXjDCupL05i7hmiW2FHNZ,50,0.54776,0.151324703,0.58494,0.208278504,-7.1704,3.106359652,0.66,0.478518121,0.06798,0.055064641,0.32040828,0.302648025,0.15229,0.097104966,0.381176,0.213583606,125.40068,28.80391551,0.049847062,0.146535792,1,5,2,3,4,2,5,2,1,2,2,4,0,3,1,3,2,3,1,0,1,1,1,1
INFP,NF,infp 4w5 ,6AaoEkxT57lpzjTOtRHUB9,50,0.45662,0.149162135,0.68324,0.245568525,-7.82444,3.726629769,0.7,0.46291005,0.062628,0.039228239,0.16878943,0.27824791,0.184952,0.151775534,0.36797,0.21303848,127.72426,26.57354524,0.146743383,0.282328997,0,6,1,1,4,2,2,2,2,2,0,4,0,4,1,4,2,2,1,2,1,2,2,3
INFP,NF,infp vibes,0ya3L1AxnX6DpMyLbLkmx8,50,0.60182,0.152248011,0.611582,0.210837062,-7.97152,3.471607686,0.6,0.494871659,0.094124,0.092159827,0.308972,0.322095413,0.194658,0.114816457,0.441928,0.233645561,119.30158,31.14284637,0.198788296,0.318269414,2,6,1,3,5,3,1,0,3,3,3,5,1,1,4,2,1,0,1,1,1,2,0,1
INFP,NF,Infp// the dreamer,4F5VDfTrksyhuT0wbuAE5V,50,0.59426,0.160931702,0.5603708,0.224956857,-9.22238,5.529958969,0.72,0.453557368,0.058218,0.053358058,0.33048234,0.305012809,0.171296,0.106572505,0.464196,0.247357132,112.36852,24.84417284,0.111906388,0.22347992,3,5,2,4,3,3,1,1,1,2,2,2,0,5,1,3,1,2,0,0,0,1,5,3
INFP,NF,INFP,2NT2HDB31VqPnN1AELoP29,26,0.730923077,0.08990347,0.787807692,0.108946599,-3.757653846,1.86811203,0.384615385,0.496138938,0.107092308,0.071381415,0.081745923,0.096892158,0.165853846,0.118377657,0.600346154,0.15437589,119.2264615,22.15349282,0.002754119,0.013241471,1,5,1,0,0,0,3,0,1,0,2,3,0,1,2,1,3,0,1,1,0,0,0,1
INFP,NF,🍃infp - the mediator🌿,5HxXOuCGG2gwg8W9zzrrXB,50,0.56528,0.129633241,0.58352,0.225523811,-8.04932,3.737334418,0.72,0.453557368,0.059074,0.042904302,0.39158472,0.343048147,0.128408,0.069172726,0.397052,0.209631914,123.58244,31.26246995,0.057706046,0.184409308,1,2,1,2,7,3,1,2,1,2,1,3,0,2,4,7,1,4,0,1,1,1,1,2
INFP,NF,INFP 갬성,1djWn2YOEhwCIgaIXDcGCM,50,0.59458,0.134905876,0.524204,0.191807554,-6.91404,2.848746376,0.72,0.453557368,0.072378,0.076249746,0.520916,0.266394923,0.174088,0.101200009,0.398494,0.225700519,111.83422,27.69806357,0.055359689,0.168202302,2,2,4,4,6,1,0,0,2,2,0,6,1,4,3,3,0,2,1,0,0,1,5,1
INFP,NF,🌑🍃INFP🍃🌑,1oxt1fz992VkeB46ekRI8b,50,0.65074,0.141824527,0.677894,0.187966406,-6.94778,3.844769987,0.58,0.498569382,0.100704,0.108080542,0.170597184,0.229130597,0.189152,0.130598775,0.518622,0.251564399,125.6163,29.79172815,0.157274686,0.310296518,2,2,0,3,1,0,2,1,4,2,0,4,2,3,2,5,2,5,0,1,2,2,1,4
INFP,NF,INFP playlist,2awBmraldwVTYnXWAWjV45,50,0.5475,0.141210691,0.55598,0.180118837,-8.00496,3.296820373,0.6,0.494871659,0.049332,0.036397334,0.3682551,0.318505848,0.144084,0.097669987,0.396254,0.242443881,127.00912,28.60989587,0.112303571,0.233271266,1,3,1,1,2,1,5,1,3,2,2,4,1,4,2,6,1,3,1,0,2,1,2,1
INFP,NF,Infp,2G9mFNm1i1Zb7QSaEMrJjM,50,0.6092,0.155808098,0.5359,0.198977001,-6.82916,2.618804575,0.84,0.37032804,0.063316,0.067384599,0.46216558,0.291869391,0.149082,0.076674056,0.42768,0.211333273,115.86802,29.16907517,0.000541481,0.002623202,2,9,2,2,8,0,0,3,1,2,0,2,0,4,0,4,0,1,1,0,1,4,3,1
INFP,NF,INFJ Playlist!!,2HTkX7Q03qo3jrPvfz1XCy,50,0.53026,0.141893005,0.69014,0.162906761,-6.73336,2.594439374,0.52,0.50467205,0.055892,0.056145605,0.185469508,0.214289831,0.197954,0.123234825,0.46668,0.182133663,123.22546,32.823542,0.195036841,0.309712103,6,4,2,2,1,1,4,2,2,2,1,1,1,3,5,6,0,0,1,1,1,2,2,0
INFP,NF,Infp/enfp lofi,64LOJlAB1R2iL69HvtEz6l,50,0.66038,0.11782673,0.3519024,0.18202656,-12.3468,4.397410249,0.66,0.478518121,0.10512,0.10620442,0.591266,0.289847513,0.13581,0.078470429,0.32599,0.196752809,110.5888,33.55675086,0.760770234,0.264129526,1,4,2,4,2,1,0,2,2,4,2,3,1,5,3,0,0,2,1,0,0,1,5,5
INFP,NF,INFP,7kZBEUXMLcvehY2xbd6cAW,50,0.677,0.128454868,0.60538,0.163443792,-6.87846,2.128136957,0.48,0.50467205,0.096128,0.097216879,0.254596,0.230938739,0.215218,0.156201812,0.424364,0.22122325,124.91396,27.31676923,0.007410721,0.030326372,2,6,1,2,3,0,2,0,3,2,1,1,0,5,4,1,5,2,1,0,3,1,1,4
INFP,NF,INFP,4EYRerdLoDP25isjiRIOlP,50,0.75434,0.090944839,0.78444,0.148040419,-5.12874,3.206820702,0.7,0.46291005,0.196744,0.129609527,0.07785606,0.122232261,0.216926,0.161290009,0.53054,0.224361608,129.51612,30.49376611,0.115539423,0.244796677,3,5,2,12,4,0,0,0,0,0,1,1,0,3,0,4,5,2,0,1,0,3,1,3
INFP,NF,INFP ,2I7Wq8iOx9gYXwymLoBQSb,46,0.56623913,0.150248414,0.611678261,0.201959703,-7.030956522,3.855890512,0.630434783,0.488020749,0.067047826,0.063741756,0.296846978,0.329899425,0.195441304,0.115979699,0.497,0.203521115,130.2762174,31.79402444,0.145777214,0.271919084,0,7,2,2,1,2,2,2,2,3,6,3,1,3,1,1,1,1,0,0,2,3,1,0
INFP,NF,INFP 🍂,3qS0J7B7nbIrOrAD8IjZYx,50,0.50726,0.138179831,0.47814,0.191034884,-8.9067,2.879662695,0.6,0.494871659,0.058716,0.047850931,0.519086,0.326181454,0.146392,0.079525093,0.309222,0.179011788,108.71444,26.86789657,0.036332395,0.116105168,2,5,2,1,3,2,2,5,1,3,5,5,0,1,4,2,1,1,1,0,0,1,1,2
INFP,NF,INFP,6J0rfdpAQOpxKEXkgoeqMH,50,0.64314,0.109881199,0.73478,0.179614132,-4.2093,2.228461877,0.8,0.404061018,0.064754,0.034663874,0.1818792,0.215099428,0.187244,0.128303041,0.520194,0.217666266,124.39552,26.04828077,6.05E-05,0.000275722,0,3,2,2,3,0,1,4,1,2,0,2,0,6,0,8,2,2,1,1,0,2,6,2
INFP,NF,infp playlist T^T,7loRpxosCT04yvC0kMxIwd,50,0.53356,0.148991598,0.501666,0.216261466,-8.92562,3.842162252,0.68,0.471212071,0.074012,0.082416676,0.446017872,0.358842485,0.189726,0.108992516,0.387638,0.208044994,126.0439,33.78380936,0.233031336,0.326263886,1,5,1,2,2,1,4,1,3,2,1,5,1,1,4,6,0,3,0,0,1,3,3,0
INFP,NF,infp musics,7bMfCG4JsIA3w1bjVtyl2B,50,0.55644,0.156722185,0.563084,0.214046366,-8.30216,3.696526629,0.64,0.484873221,0.062384,0.052383548,0.36425526,0.339472398,0.1625,0.124154787,0.420632,0.265321764,131.71442,29.48556945,0.096316911,0.20822589,1,6,0,1,1,2,4,2,1,6,2,3,1,2,4,5,1,1,0,0,2,3,0,2
INFP,NF,infp,2X48GbZX7rcGxoFPT1gZed,50,0.58182,0.12185818,0.605802,0.197357587,-5.91748,3.141789658,0.6,0.494871659,0.052364,0.030302965,0.359158,0.300964912,0.157774,0.112575846,0.4422,0.186310253,119.511,31.70020932,0.010182487,0.068975782,3,6,2,1,2,1,3,0,2,6,1,3,0,4,1,4,3,0,1,1,1,1,2,2
INFP,NF,The infp ,2CJ01lVbll5Nz2I6iUkVaZ,50,0.62384,0.135332299,0.63618,0.17195843,-7.61348,3.221268588,0.76,0.431419111,0.055342,0.050569649,0.3003034,0.276701617,0.185888,0.113991868,0.565104,0.250328996,122.15684,29.13290669,0.127724286,0.282830868,2,8,1,2,3,0,2,4,0,5,3,5,1,2,0,4,0,2,0,0,0,2,1,3
INFP,NF,INFPs only !!,6ZtyH0OE7e9rF5NhA5hs1u,50,0.51022,0.15470476,0.68454,0.185145526,-7.22338,2.715135565,0.62,0.490314351,0.04931,0.026257324,0.147061026,0.203425542,0.18341,0.138160745,0.494128,0.239157729,124.70838,27.05405705,0.141122749,0.244764158,1,5,1,3,4,1,1,2,2,3,1,4,3,2,1,5,2,0,1,2,2,1,1,2
INFP,NF,infp,6tBl3AaP3a4L9iLcD3L9k7,50,0.69776,0.087109727,0.8126,0.105546198,-3.67272,1.55226439,0.42,0.498569382,0.097006,0.067796558,0.098818,0.102813747,0.19413,0.114015962,0.63078,0.160557357,116.12322,27.02193083,7.80E-05,0.000463965,0,4,2,2,3,0,2,1,2,0,3,3,3,3,5,2,4,2,2,2,2,0,1,2
INFP,NF,Infp playlist ,4VKHXhGuqncRWdNBeDE7Vp,50,0.62168,0.158977401,0.6191,0.193659837,-7.03594,3.162534358,0.64,0.484873221,0.072892,0.05316592,0.234353764,0.259321643,0.175536,0.14365048,0.53481,0.218005007,125.59018,30.59583791,0.023119366,0.078391236,0,2,2,5,4,1,3,2,1,0,2,3,3,4,3,6,1,0,0,1,0,2,3,2
INFP,NF,An Infps everyday playlist,5tRQkpLyI8W59vGJMbeI7v,50,0.60054,0.131475801,0.67804,0.164057849,-7.17284,3.069265506,0.76,0.431419111,0.107132,0.109470261,0.244871676,0.268994091,0.168748,0.11610883,0.54118,0.188855272,131.70428,28.84657881,0.038584582,0.154890887,1,8,1,2,3,2,4,1,1,3,1,8,0,3,1,4,1,1,0,0,1,3,0,1
INFP,NF,INFP 5w4,0qhkhMxdTmJkVsr6yty3e0,50,0.40794,0.18532831,0.422912,0.220147149,-12.01084,5.625068563,0.54,0.503457434,0.047964,0.034410996,0.45402912,0.339737763,0.141016,0.109764284,0.243016,0.19720568,105.27196,32.34221174,0.291423072,0.39238572,3,6,1,1,3,1,3,0,0,4,2,6,1,1,4,2,2,1,2,0,3,0,2,2
INFP,NF,🌈🌸Infp 🌸🕊️,1YVbXRRs6cglBnPJGi6jOX,50,0.55974,0.13459824,0.59022,0.254387001,-8.62268,4.122939369,0.7,0.46291005,0.04974,0.029790486,0.34209543,0.339159081,0.155746,0.133002679,0.50688,0.242517127,121.40192,25.00856245,0.079752457,0.204536939,0,4,1,1,5,4,4,3,2,1,1,5,1,1,2,1,1,3,2,0,1,3,4,0
INFP,NF,infp !,34DEb93c3Ttm2s8Um6icJl,27,0.517074074,0.139236082,0.489333333,0.241576712,-10.27411111,4.445840842,0.666666667,0.480384461,0.041640741,0.023222374,0.427127404,0.334069209,0.151362963,0.130700354,0.413259259,0.242716611,114.9575556,27.34222963,0.275215634,0.320942932,1,3,1,1,7,0,1,2,0,1,0,2,1,0,0,0,1,1,1,1,1,0,1,1
INFP,NF,INFP-T (NEW),4lRPsMiBOGyMBOGkcIXxOZ,50,0.60304,0.159181703,0.7047,0.20182729,-6.53438,2.743949581,0.54,0.503457434,0.084914,0.091770632,0.14651005,0.228443474,0.195048,0.141019863,0.54676,0.2084974,120.50204,26.38053401,0.112852575,0.27389372,0,1,1,5,6,0,1,3,3,3,1,3,4,3,3,2,4,0,2,0,1,1,0,3
INFP,NF,Infp vibes,1FqZxBB3YhL1RS1nv4BtC8,50,0.53962,0.127628749,0.5447276,0.239813035,-7.77646,3.516430653,0.56,0.501426536,0.058558,0.047938996,0.324829162,0.317832977,0.169456,0.105680412,0.339358,0.183835506,112.65566,29.13437698,0.018825506,0.115787226,3,3,3,3,4,1,3,2,1,4,2,2,1,3,3,0,0,3,3,2,0,2,1,1
INFP,NF,INFP-T (NEW),4lRPsMiBOGyMBOGkcIXxOZ,50,0.60304,0.159181703,0.7047,0.20182729,-6.53438,2.743949581,0.54,0.503457434,0.084914,0.091770632,0.14651005,0.228443474,0.195048,0.141019863,0.54676,0.2084974,120.50204,26.38053401,0.112852575,0.27389372,0,1,1,5,6,0,1,3,3,3,1,3,4,3,3,2,4,0,2,0,1,1,0,3
INFP,NF,INFP-T,1XFeKuX32MmINvcOKaKtEY,50,0.64742,0.105678197,0.66154,0.201028093,-6.19144,3.291360343,0.6,0.494871659,0.06638,0.041998669,0.295149,0.278229943,0.142676,0.077849582,0.514972,0.216125316,116.23948,25.41427131,0.029100945,0.14470171,2,4,3,6,9,0,2,0,0,1,2,2,2,3,2,2,2,1,0,0,1,1,1,4
INFP,NF,infp kpop🎧🎶,3fterts2ZtmC9GfCIm9NGM,48,0.72225,0.116637737,0.737708333,0.139946184,-4.405083333,1.473212019,0.5,0.505291153,0.0871625,0.066198144,0.175420833,0.171930095,0.1892,0.180498902,0.626854167,0.189379838,117.1783542,22.47407848,8.72E-05,0.000406663,3,3,2,8,4,0,4,0,2,0,3,4,1,2,2,1,2,2,2,3,0,0,0,0
INFP,NF,"infp,",0evOf9xWImP0bXgIpydmM6,50,0.4821,0.140064016,0.58134,0.164227643,-7.91348,2.476292969,0.6,0.494871659,0.034438,0.012139073,0.22017986,0.257470098,0.197074,0.169884568,0.410236,0.229324751,111.0848,27.50107235,0.104321995,0.236773316,2,6,2,1,4,1,5,4,0,3,1,3,0,0,0,4,3,1,1,2,2,1,2,2
INFP,NF,INFP,6lPHMRsbyIuu9oZ3Khlasu,50,0.71154,0.092831031,0.82538,0.119292111,-3.38896,1.563268801,0.64,0.484873221,0.093372,0.061292547,0.1159968,0.119460357,0.200624,0.133302517,0.61706,0.162142216,124.24244,22.48985332,0.000189992,0.000623428,0,3,4,6,3,1,2,0,0,0,1,7,1,2,2,2,0,2,2,0,4,1,5,2
INFP,NF,☁️Infp☀️,3AsN2pvrnrtLGuBVaUKd1R,50,0.569,0.14255468,0.54852,0.177104401,-7.6433,2.654281749,0.74,0.443087498,0.067888,0.074438594,0.34446882,0.27245939,0.177026,0.109564525,0.43374,0.205129408,125.68384,32.20834273,0.009735272,0.045508464,2,5,0,7,1,1,2,2,2,7,2,3,3,2,1,2,0,2,0,0,0,5,0,1
INFP,NF,Infp,0sO2g49LnWurK1yy446AL7,50,0.53626,0.138545625,0.5476,0.214753109,-8.4111,4.268762222,0.66,0.478518121,0.05947,0.047958427,0.35369386,0.320407522,0.192906,0.177763666,0.430794,0.213747675,123.26278,34.75740481,0.047181739,0.156985523,0,10,2,3,2,2,5,3,2,1,1,2,0,0,1,3,2,3,1,1,1,4,0,1
INFP,NF,INFP,0H0IAGgIbpbfCvy1OhczwC,39,0.599512821,0.113863693,0.682897436,0.183307162,-5.119794872,1.792178639,0.717948718,0.455880752,0.061061538,0.044682992,0.281246667,0.239923642,0.166825641,0.127080332,0.459225641,0.198533652,122.263359,27.22003014,0.027068773,0.13003592,0,5,0,5,5,0,1,2,1,2,2,3,2,2,2,2,1,1,1,0,0,0,1,1
INFP,NF,INFP,2NY1S72B0AWv5wLuIQVmsR,45,0.441044444,0.114933767,0.479288889,0.256560223,-10.09471111,5.515412713,0.755555556,0.434613494,0.043024444,0.029670878,0.452778449,0.386761937,0.15696,0.096614055,0.247877778,0.160079926,119.0232,29.39002706,0.209280669,0.317135381,1,8,0,0,6,1,0,1,0,2,3,5,0,2,1,5,1,0,1,0,1,4,0,3
INFP,NF,Infp,0HCJf7V5YbR8lrbPZtDwnu,50,0.6129,0.117093239,0.67272,0.195074663,-6.71444,2.423968976,0.74,0.443087498,0.073612,0.049001993,0.2089998,0.284192426,0.146512,0.093811075,0.55006,0.214404006,123.42894,31.07788607,0.00389457,0.023004245,1,3,2,3,1,2,2,2,2,5,1,4,0,7,0,4,1,3,3,0,1,1,2,0
