#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,appearance_count,mbti_type
3,Pumped Up Kicks,Foster The People,128,4A,71,2022-04-12,03:59,87,,Torches,2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931,14,ISTP
67,Leave Me Alone,I DONT KNOW HOW BUT THEY FOUND ME,104,8B,89,2022-04-12,03:35,57,,RAZZMATAZZ,2020-10-23,54,0,0,57,0,30,-3,C Major,4,1cIi1x8ANjMO97wH5OfYO1,US5262023738,14,ISTP
12,Feel Good Inc.,"Gorillaz,De La Soul",139,2B,71,2022-08-14,03:42,91,"jazz rap, east coast hip hop",Demon Days,2005-05-23,82,1,0,77,10,60,-7,F#/G♭ Major,4,0d28khcov6AiegSCpG5TuT,GBAYE0500172,14,ISTP
17,bellyache,Billie Eilish,100,9A,57,2022-04-12,02:59,79,,Bellyache,2017-02-24,70,46,7,41,10,40,-9,E Minor,4,51NFxnQvaosfDDutk0tams,USUM71615103,14,ISTP
33,The Hills,The Weeknd,113,5A,56,2022-04-12,04:02,88,,Beauty Behind The Madness,2015-08-28,59,7,0,14,0,10,-7,C Minor,4,7fBv7CLKzipRk6EC6TWHOB,USUG11500737,14,ISTP
49,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",77,10A,78,2022-04-12,02:53,76,"score, ",Enemy (with JID) [from the series Arcane League of Legends],2021-10-28,73,24,0,56,20,40,-4,B Minor,4,1r9xUipOqoNwggBpENDsvJ,USUM72119916,12,ISTP
12,Michelle,Sir Chloe,116,12B,44,2022-04-12,03:34,0,,Party Favors,2020-10-23,37,8,0,11,0,10,-5,E Major,3,48rZVgAGm0OlbbxjikCpqm,QZDA41967250,12,ISTP
65,People I Don't Like,UPSAHL,90,10A,57,2022-04-12,02:22,63,,People I Don't Like,2020-07-17,75,27,0,55,30,30,-7,B Minor,4,5srKMwXoeyrRnyTnNbpgIW,USQX92003333,12,ISTP
53,Stay Soft,Mitski,105,9B,68,2022-04-12,03:16,56,,Laurel Hell,2022-02-04,60,4,0,55,0,10,-9,G Major,4,07zVQBJfbOuaAhpT3stRFL,USJ5G2125003,12,ISTP
16,うっせぇわ,Ado,178,10A,98,2022-04-12,03:24,66,"j-pop, anime, vocaloid, j-rock",うっせぇわ,2020-10-23,53,0,0,58,0,0,-1,B Minor,4,6EzZn96uOc9JsVGNRpx06n,JPPO02002791,12,ISTP
54,Oh my god,i-dle,110,9A,76,2022-04-12,03:15,64,k-pop,I trust,2020-04-06,79,4,0,48,0,10,-4,E Minor,4,2DmRXiyn03tOqKgEJXlaiJ,KRA392000022,12,ISTP
55,ON,BTS,106,8A,82,2022-04-12,04:06,75,k-pop,MAP OF THE SOUL : 7,2020-02-21,58,12,0,44,10,30,-5,A Minor,4,0fZRNhPJ4AGmwY7rkpdbqK,QM4TX2001949,12,ISTP
35,Knee Socks,Arctic Monkeys,98,10A,54,2022-04-12,04:17,78,"indie, garage rock",AM,2013-09-09,67,12,0,59,0,30,-8,B Minor,4,2LGdO5MtFdyphi2EihANZG,GBCEL1300372,12,ISTP
5,idfc,blackbear,145,9A,42,2022-04-12,03:27,70,,dead,2015-06-02,72,8,0,46,0,10,-9,E Minor,4,3SErMoIKdRELto2OspGs5L,USLD90811103,10,ISTP
2,Why'd You Only Call Me When You're High?,Arctic Monkeys,92,10B,63,2026-03-29,02:41,87,"indie, garage rock",AM,2013-09-09,69,5,0,80,0,10,-6,D Major,4,086myS9r57YsLbJpU0TgK9,GBCEL1300370,10,ISTP
19,Freak,Lana Del Rey,94,4A,43,2022-04-12,04:55,70,,Honeymoon,2015-09-18,29,27,0,11,0,30,-10,F Minor,4,3sYDVtqO35oRSOIMx7dOqR,GBUM71503929,10,ISTP
8,Wheels on the Bus,Melanie Martinez,96,9B,62,2022-04-12,03:40,63,,K-12,2019-09-06,71,59,0,56,0,40,-6,G Major,4,2plUcsOZm6pi1kFUncqLni,USAT21902525,10,ISTP
61,The Only Heartbreaker,Mitski,151,1B,75,2022-04-12,03:04,55,,Laurel Hell,2022-02-04,49,0,1,59,0,10,-7,B Major,4,4VYNZbmI3ixv9mlTTd9NKc,USJ5G2125006,10,ISTP
64,OHMAMI,Chase Atlantic,126,3A,72,2022-04-12,03:46,64,,OHMAMI,2021-06-25,63,5,0,40,10,20,-6,A#/B♭ Minor,4,2zVaxB54fNngkbWs5uZnla,US5262124147,10,ISTP
63,Prisoner (feat. Dua Lipa),"Miley Cyrus,Dua Lipa",128,2A,67,2022-04-12,02:49,72,pop,Plastic Hearts,2020-11-27,78,1,0,60,0,0,-4,D#/E♭ Minor,4,2Oycxb8QbPkpHTo8ZrmG0B,USRC12003364,10,ISTP
15,Detention,Melanie Martinez,95,2A,66,2022-04-12,03:56,63,,K-12,2019-09-06,83,49,0,78,0,10,-6,D#/E♭ Minor,4,7i9AEaOWJrfVBsinUSefma,USAT21902534,10,ISTP
31,Void,The Neighbourhood,84,7B,58,2022-04-12,03:23,72,,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,53,5,3,35,0,0,-8,F Major,4,2wXioTynVwrEWYRv6R6vEj,USSM11800522,10,ISTP
58,TAIL,SUNMI,125,11B,86,2022-04-12,03:10,0,k-pop,TAIL,2021-02-23,52,4,0,43,10,0,-3,A Major,4,7muTXW7kGytN3zdomku6FV,KRMIM2105074,10,ISTP
4,ICY,ITZY,125,10B,90,2022-04-12,03:11,61,k-pop,IT'z ICY,2019-07-29,80,3,0,81,0,10,-3,D Major,4,2vdkN2NSQ5mxqNGg7sJUxs,US5TA1900067,10,ISTP
52,Love To Hate Me,BLACKPINK,162,4B,64,2022-04-12,02:51,65,k-pop,THE ALBUM,2020-10-02,69,3,0,60,10,0,-5,G#/A♭ Major,4,7iKDsPfLT0d5mu2htfMKBZ,KRA402000138,10,ISTP
23,SIU,Maretu,120,1B,91,2022-04-12,04:38,66,vocaloid,SIU,2019-11-25,68,6,0,66,0,0,-3,B Major,4,22tot0Y6uKuWdAZnEQyB6g,TCJPK1903026,10,ISTP
9,...Ready For It?,Taylor Swift,160,10B,76,2022-04-12,03:28,79,,reputation,2017-11-10,61,5,0,42,10,20,-7,D Major,4,2yLa0QULdQr0qAIvVwN6B5,USCJY1750003,10,ISTP
56,"HELLO (NAYEON, MOMO, CHAEYOUNG)",TWICE,170,5A,64,2022-04-12,03:03,51,k-pop,Formula of Love: O+T=<3,2021-11-12,81,4,0,54,10,0,-4,C Minor,4,1bXM8imxd31qCecbHgSk9E,US5TA2100109,10,ISTP
24,Lane Boy,Twenty One Pilots,160,9B,81,2022-04-12,04:13,67,,Blurryface,2015-05-15,62,6,0,91,0,0,-5,G Major,4,2P61EK6DMGyVyssLWS4fKy,USAT21500599,8,ISTP
68,THANXX,ATEEZ,165,9A,96,2022-04-12,03:01,57,"k-pop, noise music",ZERO : FEVER Part.1,2020-07-29,60,4,0,65,10,20,-2,E Minor,4,0YXpDiXEQlRmVSAFcub7sE,KRD442000010,8,ISTP
72,HWAA,i-dle,95,11A,87,2022-04-12,03:17,61,k-pop,I burn,2021-01-11,38,5,0,23,0,0,-3,F#/G♭ Minor,4,5FiXhM80sP4yg6tEnHkZZn,KRA392000074,8,ISTP
81,Phonky Town,PlayaPhonk,125,3B,82,2022-04-12,02:21,63,"phonk, drift phonk",Phonky Town,2021-03-16,81,36,83,34,30,10,-5,C♯/D♭ Major,4,5mnpMkzp3Z2RCCbwIEZCbv,QZDA82146449,8,ISTP
9,Seven Nation Army,The White Stripes,124,8B,47,2023-03-10,03:51,49,"garage rock, blues rock, rock, alternative rock",The White Stripes Greatest Hits,2020-12-04,73,1,37,30,0,20,-8,C Major,4,7bxon8K9DP6stYx5ZO9WlK,USVT10300001,8,ISTP
83,Do I Wanna Know?,Arctic Monkeys,85,7B,53,2026-04-04,04:32,89,"indie, garage rock",AM,2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362,8,ISTP
33,Daddy Issues,The Neighbourhood,85,6B,52,2022-08-14,04:20,86,,Wiped Out!,2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747,8,ISTP
78,Close Eyes,DVRST,96,8B,57,2022-04-12,02:12,71,"phonk, drift phonk",Close Eyes,2021-05-25,78,7,84,21,0,10,-10,C Major,4,3CLSHJv5aUROAN2vfOyCOh,QZHN82186053,8,ISTP
49,Back In Black,AC/DC,188,11B,70,2023-03-10,04:16,87,"rock, hard rock, classic rock, rock and roll",Back In Black,1980-07-25,31,1,1,76,0,0,-6,A Major,4,08mG3Y1vljYA6bvDt4Wqkj,AUAP08000046,8,ISTP
5,light,wave to earth,80,1B,62,2024-03-02,03:45,0,,light,2019-11-18,42,25,4,73,0,10,-7,B Major,4,4i2T7Nm4Q72sNnSlGADSm6,KRMIM1921432,8,ISTP
7,Natural,Imagine Dragons,100,10B,61,2022-04-12,03:09,82,,Origins (Deluxe),2018-11-09,70,22,0,22,0,0,-6,D Major,4,2FY7b99s15jUprqC0M5NCT,USUM71806694,8,ISTP
24,I Can't Handle Change,Roar,186,7B,44,2024-01-08,03:18,3,,I Can't Handle Change,2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595,8,ISTP
14,WHISTLE,BLACKPINK,103,1B,72,2022-04-12,03:31,73,k-pop,SQUARE ONE,2016-08-08,82,1,0,61,10,0,-5,B Major,4,6NEoeBLQbOMw92qMeLfI40,KRA401600168,8,ISTP
18,my strange addiction,Billie Eilish,100,1A,31,2022-04-12,02:59,76,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,94,35,0,56,30,10,-11,G#/A♭ Minor,4,3Tc57t9l2O8FwQZtQOvPXK,USUM71900769,8,ISTP
28,Chlorine,Twenty One Pilots,90,3A,67,2022-04-12,05:24,78,,Trench,2018-10-05,61,7,6,32,0,30,-7,A#/B♭ Minor,4,23OXdR7YuUBVWh5hSnYJau,USAT21810687,8,ISTP
32,Monster,Imagine Dragons,180,5B,77,2022-04-12,04:10,57,,Smoke + Mirrors (Deluxe),2015-10-23,48,21,0,41,0,10,-5,D#/E♭ Major,4,4uyDe8SeM0Nsgzp9KMtXWn,USUM71311709,8,ISTP
34,Payphone,"Maroon 5,Wiz Khalifa",110,12B,75,2022-04-12,03:51,87,"pop, ",Overexposed Track By Track,2012-01-01,74,2,0,55,0,20,-5,E Major,4,1XGmzt0PVuFgQYYnV2It7A,USUM71203347,8,ISTP
49,do re mi,blackbear,111,4B,59,2023-01-03,03:32,78,,digital druglord,2017-04-21,75,1,0,17,0,10,-6,G#/A♭ Major,3,6Se3x9ANMLv0dCDsjGmEjh,USLD91700850,8,ISTP
4,Custer,Slipknot,131,9B,98,2022-08-14,04:14,76,"nu metal, metal, alternative metal, rap metal, heavy metal",.5: The Gray Chapter (Special Edition),2014-10-15,41,0,0,54,10,10,-2,G Major,4,3GiJq4AQK7324mfIQbpiTf,NLA321400448,8,ISTP
41,Growl,EXO,90,10A,81,2022-04-12,03:27,70,k-pop,The 1st Album 'XOXO' (Repackage),2013-08-05,68,14,0,88,0,50,-3,B Minor,4,4pi0Elz7B7cLfw37J3bYm9,KRA301300166,8,ISTP
44,party favor,Billie Eilish,130,8B,19,2022-04-12,03:24,67,,dont smile at me,2017-12-22,83,88,0,21,0,10,-12,C Major,4,3WxmlTZ85sCYFnuIXmUAEe,USUM71708095,8,ISTP
45,sex money feelings die,Lykke Li,134,1A,53,2022-04-12,02:19,67,,so sad so sexy,2018-06-08,79,32,0,63,0,0,-6,G#/A♭ Minor,4,0g4fzRkbLeCDUCoe5iUOcf,USRC11801750,8,ISTP
59,Lonely,Palaye Royale,148,7A,62,2022-04-12,03:06,0,,The Bastards,2020-05-29,62,6,0,48,0,0,-6,D Minor,4,0haXiRi57j2xQo5a3WkzqV,USYFZ2031305,8,ISTP
60,I Didn't Change My Number,Billie Eilish,142,11B,48,2022-04-12,02:38,73,,Happier Than Ever,2021-07-30,85,61,27,68,20,30,-6,A Major,4,7bcy34fBT2ap1L4bfPsl9q,USUM72105926,8,ISTP
163,"Sex, Drugs, Etc.",Beach Weather,144,9A,84,2022-12-04,03:16,75,,Chit Chat,2016-11-04,57,1,1,47,0,50,-5,E Minor,4,7DbdUf8aHSYoliSjO6LZv6,TCACS1642138,6,ISTP
83,Spider,HOSHI,98,11A,70,2022-04-12,03:31,57,k-pop,Spider,2021-04-02,75,3,0,69,10,0,-6,F#/G♭ Minor,4,2TwB7aK39tnZBQjBPgcbCj,USA2P2108292,6,ISTP
74,Paparazzi,Lady Gaga,115,4A,69,2025-02-05,03:28,82,"art pop, pop",The Fame,2008-01-01,76,11,0,40,0,0,-4,F Minor,4,02XnQdf7sipaKBBHixz3Zp,USUM70824408,6,ISTP
39,Who Is She ?,I Monster,153,12A,80,2024-01-08,03:33,71,,Neveroddoreven,2005-01-27,39,8,1,10,0,0,-4,C♯/D♭ Minor,4,1QxcWlk8PivolUaWcpAoNq,GBDKA0300194,6,ISTP
12,Still into You,Paramore,136,7B,92,2024-01-08,03:36,84,"pop punk, emo",Paramore,2013-04-05,60,1,0,77,0,0,-4,F Major,4,1yjY7rpaAQvKwpdUliHx0d,USAT21300012,6,ISTP
31,Hermit the Frog,MARINA,122,8B,68,2022-08-14,03:35,66,,The Family Jewels,2009-07-15,61,24,0,49,0,20,-5,C Major,4,4Zcz6saEkOII3PlXd9gN3o,GBFFS0900117,6,ISTP
170,Lovers Rock,TV Girl,105,4A,87,2022-12-23,03:33,88,,French Exit,2014-06-05,56,0,1,57,0,10,-5,F Minor,4,6dBUzqjtbnIa1TwYbyw5CM,USHM21438143,6,ISTP
89,Arsonist's Lullabye,Hozier,177,11A,43,2022-04-12,04:26,60,,Hozier (Special Edition),2014-09-19,28,59,5,18,0,10,-9,F#/G♭ Minor,3,7lpmIGFw7Kc9qIdq4cGs34,IEACJ1400014,6,ISTP
90,Polaroid,Imagine Dragons,155,3B,60,2022-04-12,03:50,47,,Smoke + Mirrors (Deluxe),2015-10-23,42,52,0,26,0,20,-7,C♯/D♭ Major,4,2Mi65Ygq54y5O4vSxBNWkV,USUM71417932,6,ISTP
20,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd,JENNIE,Lily-Rose Depp",85,4B,64,2026-03-29,04:04,92,"k-pop, ",The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,26,4,0,19,0,10,-6,G#/A♭ Major,4,7CyPwkp0oE8Ro9Dd5CUDjW,USUG12303881,6,ISTP
93,Louise,TV Girl,116,8B,92,2022-04-12,03:14,0,,French Exit,2014-06-05,73,17,1,92,0,30,-5,C Major,4,0jRDNrCKo3vEKyiuQfSVLW,ushm21438137,6,ISTP
24,Rosemary,Deftones,127,7B,61,2022-08-14,06:53,77,"nu metal, alternative metal, rap metal, rock, shoegaze",Koi No Yokan,2012-11-09,28,2,10,8,0,10,-6,F Major,4,4FEr6dIdH6EqLKR0jB560J,USRE11200415,6,ISTP
42,Brittle Bones Nicky,Rare Americans,130,12A,74,2022-04-12,03:22,51,,Brittle Bones Nicky,2019-09-01,77,18,0,71,0,20,-6,C♯/D♭ Minor,4,0Pne7iPkdfhZFh45nhBhHz,CAGXI1900033,6,ISTP
76,Unpaid Intern,Bo Burnham,170,6A,72,2022-04-12,00:34,0,comedy,Inside (The Songs),2021-06-10,68,43,0,62,0,10,-7,G Minor,4,4qMHIhPg0PdAxGejImhYLu,USA2P2122065,6,ISTP
77,Snakes (from the series Arcane League of Legends),"PVRIS,MIYAVI",158,12A,84,2022-04-12,02:41,1,"j-rock, visual kei",Arcane League of Legends (Soundtrack from the Animated Series),2021-11-20,43,0,0,37,20,30,-6,C♯/D♭ Minor,4,7AEvaz0EOmlqN27o6zpt3k,QZH6S1900391,6,ISTP
48,rockstar (feat. 21 Savage),"Post Malone,21 Savage",160,4A,52,2022-04-12,03:38,84,,beerbongs & bentleys,2018-04-27,59,12,0,13,0,10,-6,F Minor,4,0e7ipj03S05BNilyu5bRzt,USUM71710087,6,ISTP
88,Moonlight,Kali Uchis,137,6A,71,2025-10-22,03:07,81,,Red Moon In Venus,2023-03-03,64,52,0,86,0,20,-7,G Minor,4,0JmnkIqdlnUzPaf8sqBRs3,USUM72219486,6,ISTP
25,Monster,Lady Gaga,120,8A,80,2022-12-19,04:09,72,"art pop, pop",The Fame Monster (Deluxe Edition),2009-11-05,70,0,0,65,0,40,-5,A Minor,4,2WgyOP8Z1D6GQYumCwH4Dk,USUM70918597,6,ISTP
46,Little Pistol,Mother Mother,170,9B,48,2022-04-12,04:28,0,,The Sticks,2012-09-18,30,75,0,17,0,40,-8,G Major,4,0rPsA6WNBe8BdSgth2z0HG,CAL451240009,6,ISTP
55,Breakin' Dishes,Rihanna,125,1A,67,2026-03-29,03:20,86,,Good Girl Gone Bad: Reloaded,2008-06-02,80,0,0,88,0,0,-4,G#/A♭ Minor,4,46aZJc0z1HHHSFxaIRxYSP,USUM70734702,6,ISTP
77,Dark Red,Steve Lacy,172,2B,78,2025-02-05,02:53,87,,Dark Red,2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015,6,ISTP
87,Snooze,SZA,143,7B,55,2025-10-22,03:21,88,r&b,SOS,2022-12-09,56,14,0,39,10,10,-7,F Major,4,4iZ4pt7kvcaH6Yo8UoZ4s2,USRC12204591,6,ISTP
67,RUDE!,Hearts2Hearts,128,11A,78,2026-04-01,03:20,87,k-pop,RUDE!,2026-02-20,78,17,0,47,0,30,-4,F#/G♭ Minor,4,2bAQsNqdo62T8akkIvWzGl,KRA302600032,6,ISTP
21,Just,Radiohead,176,6A,77,2023-03-10,03:54,76,"art rock, alternative rock",The Bends,1995-03-13,29,0,1,36,0,0,-7,G Minor,4,1dyTcli07c77mtQK3ahUZR,GBAYE9400060,6,ISTP
76,Risk It All,Bruno Mars,172,10B,35,2026-04-03,03:24,96,,The Romantic,2026-02-27,40,50,0,27,0,0,-10,D Major,4,5y2ijHECwFYWqcAHKTZgzD,USAT22509142,6,ISTP
36,"Me, Myself & I","G-Eazy,Bebe Rexha",112,5A,67,2023-03-10,04:11,56,,When It's Dark Out (Deluxe Edition),2020-12-11,76,2,0,39,10,10,-7,C Minor,4,5TL04XPWpL2rTK7HLBWK6N,USRC11502210,6,ISTP
80,I Wanna Be Yours,Arctic Monkeys,68,5A,42,2026-04-04,03:03,92,"indie, garage rock",AM,2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373,6,ISTP
81,505,Arctic Monkeys,140,8B,87,2026-04-04,04:13,88,"indie, garage rock",Favourite Worst Nightmare,2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074,6,ISTP
82,No. 1 Party Anthem,Arctic Monkeys,115,8B,70,2026-04-04,04:03,87,"indie, garage rock",AM,2013-09-09,51,33,9,60,0,10,-6,C Major,4,5TTGoX70AFrTvuEtqHK37S,GBCEL1300367,6,ISTP
11,SOLO,JENNIE,95,2A,64,2022-08-14,02:49,69,k-pop,SOLO,2018-11-12,75,9,0,39,0,10,-5,D#/E♭ Minor,4,1R0hxCA5R7z5TiaXBZR7Mf,KRA401800139,6,ISTP
42,Break Stuff,Limp Bizkit,109,4B,88,2023-03-10,02:46,86,"nu metal, rap metal, alternative metal, rap rock",Significant Other,1999-00-00,43,1,0,62,10,10,-7,G#/A♭ Major,4,5cZqsjVs6MevCnAkasbEOX,USIR19902309,6,ISTP
34,Swim,Chase Atlantic,120,4B,54,2026-03-29,03:48,86,,Chase Atlantic,2017-10-04,67,27,0,8,0,0,-6,G#/A♭ Major,4,3M0lSi5WW79CXQamgSBIjx,USWB11701711,6,ISTP
70,Her,Poppy,122,3B,97,2022-04-12,02:08,0,,Her,2021-06-30,53,0,1,37,0,20,-5,C♯/D♭ Major,4,7AKWV3l6tVrhLj9nstvdHg,USYFZ2149506,6,ISTP
10,seasons,wave to earth,59,9B,28,2024-03-02,04:16,1,,summer flows 0.02,2020-08-04,33,78,6,16,0,20,-11,G Major,4,1acVBP8BcK6LTeNeFjfxnh,KRMIM2021578,6,ISTP
110,Love,Keyshia Cole,117,7B,52,2025-12-06,04:15,84,r&b,The Way It Is,2005-01-01,69,6,0,31,0,10,-4,F Major,4,0W4NhJhcqKCqEP2GIpDCDq,USAM10500210,6,ISTP
89,Jhonny Boy,kamaitachi,95,10A,73,2023-03-21,03:35,42,,Jhonny Boy,2019-10-17,80,30,0,70,10,0,-7,B Minor,4,47loQ9cRM3TkehwSt05T01,QZHZ41908206,6,ISTP
25,love.,wave to earth,62,10B,39,2024-03-06,05:07,2,,0.1 flaws and all.,2023-04-20,32,65,30,25,0,20,-10,D Major,4,5rDXfGMWI6S8wkXR0MHsvv,KRA252300813,6,ISTP
31,Always,Daniel Caesar,136,10B,44,2024-04-15,03:45,85,,NEVER ENOUGH,2023-04-07,58,67,0,20,0,10,-8,D Major,4,2LlOeW5rVcvl3QcPNPcDus,USUG12209355,6,ISTP
33,double take,Dhruv,109,4B,44,2024-04-17,02:51,78,,rapunzel,2022-01-21,66,85,0,20,0,20,-11,G#/A♭ Major,4,0QzuaeCEEOV40Pn7IvKEny,GBMJG1911043,6,ISTP
26,despair,leo.,174,8B,66,2022-04-12,02:55,0,,despair,2019-03-24,41,61,0,50,0,30,-7,C Major,4,292JruITePIpFvRpPb85GF,QZES71992235,6,ISTP
80,The Sharpest Lives,My Chemical Romance,155,12A,94,2023-12-27,03:20,71,"emo, pop punk",The Black Parade,2006-10-20,51,0,0,54,0,0,-3,C♯/D♭ Minor,4,2kMjk14RmYyYhhSbipoa9U,USRE10602906,6,ISTP
87,Teenagers,My Chemical Romance,112,12B,86,2023-12-27,02:41,83,"emo, pop punk",The Black Parade,2006-10-20,46,5,0,86,0,10,-3,E Major,4,7j31rVgGX9Q2blT92VBEA0,USRE10602912,6,ISTP
151,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth,Selena Gomez",100,12A,56,2026-04-21,03:37,85,"soft pop, ",Nine Track Mind (Special Edition),2015-11-05,73,62,0,35,10,10,-8,C♯/D♭ Minor,4,54PbBpquVfhfrwRwvjSXbI,USAT21502909,6,ISTP
175,Not Allowed,TV Girl,105,3B,91,2025-05-04,02:47,85,,Who Really Cares,2016-02-25,67,67,0,56,10,30,-7,C♯/D♭ Major,4,3IznIgmXtrUaoPWpQTy5jB,USCGH1682131,6,ISTP
211,Sweater Weather,The Neighbourhood,124,6B,81,2025-05-20,04:00,93,,I Love You.,2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080,6,ISTP
247,See You Again (feat. Kali Uchis),"Tyler, The Creator,Kali Uchis",79,2B,56,2025-06-21,03:00,91,,Flower Boy,2017-07-21,56,37,0,62,10,10,-9,F#/G♭ Major,4,7KA4W4McWYRpgf0fWsJZWB,USQX91701275,6,ISTP
282,Bring Me To Life,Evanescence,95,9A,94,2025-11-06,03:55,90,alternative metal,Fallen,2003-03-04,33,1,0,30,0,20,-3,E Minor,4,0COqiPhxzoWICwFCS4eZcp,USWU30200093,6,ISTP
82,Don't Call Me,SHINee,82,10B,78,2022-04-12,03:40,56,k-pop,Don't Call Me - The 7th Album,2021-02-22,69,1,0,31,0,10,-2,D Major,4,462OPOKW0VMbvW9H7HIb0U,KRA302100030,6,ISTP
81,homesick,wave to earth,95,1A,44,2025-08-19,05:06,71,,0.1 flaws and all.,2023-04-20,52,67,37,10,0,10,-10,G#/A♭ Minor,4,2FZIabCRMEWAYfN69Ijn1U,KRA252300814,6,ISTP
40,I'm Full,Wallows,160,12A,84,2022-04-12,03:42,49,indie,Nothing Happens,2019-03-22,46,1,0,23,0,40,-7,C♯/D♭ Minor,4,7E9OnFFwTYDz6ZllgfbwOd,USAT21812264,6,ISTP
37,Rock N Roll,Avril Lavigne,184,5A,96,2022-04-12,03:26,59,,Avril Lavigne (Expanded Edition),2013-11-01,47,1,0,67,10,30,-3,C Minor,4,471JGLzHPrgM4lS9mNOEIt,USSM11304458,6,ISTP
36,Rise,Katy Perry,101,1B,64,2022-04-12,03:23,63,pop,Rise,2016-07-15,55,5,0,44,0,10,-6,B Major,4,1CwNogTShsnsn1C8UhRmYX,USUM71605088,6,ISTP
33,Flashing Lights,"Kanye West,Dwele",90,11A,63,2026-03-29,03:57,89,"rap, neo soul",Graduation,2007-09-11,64,4,0,43,0,30,-8,F#/G♭ Minor,4,5TRPicyLGbAF2LGBFbHGvO,USUM70749095,6,ISTP
